,QC_sys_kWh,E_sys_kWh,QC_winning,E_winning,Qcs_sys_kWh,Qcs_winning,Qcs_base_load
B1003,0.4641945842123248,0.1716154480859873,WINDOW_AS10-TIGHTNESS_AS2-0.39-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS3-0.39-1.0-28-28,0.4210183490618682,WINDOW_AS10-TIGHTNESS_AS3-0.39-1.0-28-OFF,12.206572285884723
B1005,0.1149572157869222,0.0549537459135976,WINDOW_AS8-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,0.1454454145777976,WINDOW_AS8-TIGHTNESS_AS4-0.29-1.0-18-20,379.44160385494655
B1008,2.399599674518344,0.1206136181654542,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS3-0.29-1.0-28-28,2.2560330467070813,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,0.0
B1016,0.2620725035030816,0.1278203619460762,WINDOW_AS8-TIGHTNESS_AS3-0.39-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,0.2758382560626724,WINDOW_AS8-TIGHTNESS_AS3-0.39-1.0-28-OFF,91.06750656584468
B1026,0.3132325519254,0.1002226492127098,WINDOW_AS10-TIGHTNESS_AS3-0.89-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-28-28,0.4447351424774082,WINDOW_AS10-TIGHTNESS_AS4-0.79-1.0-28-OFF,316.6275866742362
B1047,0.0722288279459994,0.0217212122617395,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,0.0879543118184924,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,1675.0265537866703
B1050,0.7286751477140527,0.0227173159803548,WINDOW_AS8-TIGHTNESS_AS2-0.59-1.0-24-26,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-28-28,0.7503625163576995,WINDOW_AS8-TIGHTNESS_AS2-0.59-1.0-24-26,0.0
B1052,0.2539403784643091,0.0791581536489463,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,0.2546933446469984,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-28-OFF,425.5491343188005
B1053,0.2324140883795894,0.052851537149221,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,0.1081800574715494,WINDOW_AS10-TIGHTNESS_AS3-0.59-1.0-24-24,205.96818858574267
B1055,0.2878339421910272,0.0170858464725545,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,0.0854491216074207,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-18-18,214.91350384290016
B1063,0.3362158315587766,0.0840280342539847,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,0.3721208905951955,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,69.32399056058202
B1064,0.7142364926022434,0.0872762840383518,WINDOW_AS8-TIGHTNESS_AS4-0.59-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.89-1.0-28-28,1.287086965135893,WINDOW_AS8-TIGHTNESS_AS4-0.59-1.0-28-OFF,178.5867863702223
B1081,0.5167157259733608,0.1757120847366639,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-28,0.5197845974699901,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,0.0
B1087,0.4790044113191798,0.1258096603403722,WINDOW_AS8-TIGHTNESS_AS2-0.49-1.0-18-20,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-28-28,0.4733066262676662,WINDOW_AS8-TIGHTNESS_AS2-0.39-1.0-18-20,32.64155087397695
B1099,0.1551589743321344,0.0237374758558335,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-28,0.13120249907144,WINDOW_AS9-TIGHTNESS_AS4-0.89-1.0-18-18,240.54225813329683
B1102,0.108969624215514,0.0254115825798321,WINDOW_AS10-TIGHTNESS_AS2-0.39-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-28-28,0.1864121335940857,WINDOW_AS8-TIGHTNESS_AS4-0.39-1.0-28-28,415.1148663223545
