,QC_sys_kWh,E_sys_kWh,QC_winning,E_winning,Qcs_sys_kWh,Qcs_winning,Qcs_base_load
B1003,0.1457827017879221,0.13189433092928,WINDOW_AS10-TIGHTNESS_AS2-0.39-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.39-1.0-28-OFF,0.0,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,24.237923703284523
B1005,0.0008325396732003,0.0444035495830624,WINDOW_AS9-TIGHTNESS_AS2-0.59-1.0-24-26,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.39-1.0-22-22,443.8059941152095
B1008,2.02156909829502,0.102673076483075,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-28-OFF,1.8703285413949928,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,0.0
B1016,0.0003501652066945,0.1028149846203767,WINDOW_AS10-TIGHTNESS_AS2-0.89-1.0-18-20,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.69-1.0-28-28,96.40378141289534
B1026,0.0031425547853942,0.0842469664215752,WINDOW_AS10-TIGHTNESS_AS3-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS3-0.59-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-20-20,64.12644644987728
B1047,0.0032618946172323,0.0176140702599066,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,4.8591139261157305e-19,WINDOW_AS8-TIGHTNESS_AS3-0.49-1.0-24-26,1465.810173039544
B1050,3.2405857522889074e-05,0.018051341893617,WINDOW_AS8-TIGHTNESS_AS3-0.69-1.0-26-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.59-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-28-28,23.37500512676255
B1052,0.0823867067063212,0.0630814856546369,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-20-22,111.85992166156768
B1053,0.1743419709114082,0.0418665893868639,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.49-1.0-20-24,119.15291423678433
B1055,0.2237793157310705,0.0129237453708693,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.89-1.0-18-24,215.70128525515355
B1063,0.0018426593531485,0.0675379145990495,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.79-1.0-28-OFF,4.992618598947556
B1064,5.144108628799117e-05,0.0674325816114694,WINDOW_AS8-TIGHTNESS_AS3-0.69-1.0-26-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-20-20,107.7527519873052
B1081,0.0678346525097897,0.1393078010797515,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0272190539249096,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,0.0
B1087,0.0012307571249754,0.1006952766625695,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-20-24,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.59-1.0-20-20,49.91517139739293
B1099,0.1073550223893322,0.0190406101441921,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-18-22,240.70583377813813
B1102,0.0028813561815121,0.0204542686814007,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.59-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS4-0.49-1.0-18-26,319.6063505793546
B1103,0.5222214755201061,0.009427015509873,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS9-TIGHTNESS_AS4-0.79-1.0-28-28,0.3577437509022273
