,QC_sys_kWh,E_sys_kWh,QC_winning,E_winning,Qcs_sys_kWh,Qcs_winning,Qcs_base_load
B1003,0.1010220637795069,0.1102743893534683,WINDOW_AS10-TIGHTNESS_AS3-0.39-1.0-29-OFF,WINDOW_AS10-TIGHTNESS_AS3-0.39-1.0-29-OFF,0.0,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,24.237923703284523
B1168,6.79698808244284e-05,0.0781542914293698,WINDOW_AS9-TIGHTNESS_AS3-0.39-1.0-26-28,WINDOW_AS10-TIGHTNESS_AS4-0.69-1.0-29-OFF,0.0,WINDOW_AS9-TIGHTNESS_AS3-0.39-1.0-28-28,21.573858674173024
B1153,0.0007441376128746,0.1371589624147339,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-18-22,WINDOW_AS10-TIGHTNESS_AS4-0.79-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.79-1.0-28-28,23.903255103406337
B1150,0.0021417256648173,0.1534675707760454,WINDOW_AS8-TIGHTNESS_AS2-0.59-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.59-1.0-28-OFF,0.0,WINDOW_AS9-TIGHTNESS_AS2-0.79-1.0-26-26,20.518123305821423
B1146,0.000781388237903,0.1566448819135477,WINDOW_AS8-TIGHTNESS_AS3-0.39-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS4-0.39-1.0-28-OFF,0.0,WINDOW_AS9-TIGHTNESS_AS4-0.29-1.0-26-26,21.278285208072
B1142,0.0059654245526441,0.0393650267837722,WINDOW_AS9-TIGHTNESS_AS2-0.59-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS4-0.69-1.0-29-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.39-1.0-26-26,71.28558623562915
B1139,0.159992685309541,0.023257777553349,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-29-29,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.39-1.0-20-24,628.6144752595734
B1138,0.0927557825538128,0.1347665488470115,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-28-OFF,0.0,WINDOW_AS9-TIGHTNESS_AS3-0.39-1.0-28-OFF,100.87327214002784
B1135,1.8951280895194727e-05,0.0423900793917383,WINDOW_AS10-TIGHTNESS_AS4-0.89-1.0-28-28,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-29-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-26-28,220.05846036000884
B1126,0.0344036564977548,0.0300790208423094,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-28-OFF,WINDOW_AS9-TIGHTNESS_AS4-0.59-1.0-29-29,0.0,WINDOW_AS9-TIGHTNESS_AS2-0.59-1.0-22-22,408.8301425593676
B1115,0.0889517697718414,0.0249409883143563,WINDOW_AS10-TIGHTNESS_AS2-0.39-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.39-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-28-28,473.67155698899
B1114,0.1645678089088387,0.0831291374896338,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS3-0.49-1.0-24-24,118.37920032018836
B1109,0.0353726822031428,0.0255105777894057,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.69-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.39-1.0-18-20,675.5322593873713
B1107,0.0598875281428507,0.0410631167242897,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.69-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.39-1.0-24-24,97.08863205045228
B1296,0.2059259977030899,0.0763697608136185,WINDOW_AS10-TIGHTNESS_AS2-0.89-1.0-29-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.89-1.0-29-OFF,0.0,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-28-OFF,1.310956340590692
B1104,0.1260165032683632,0.0211374140617967,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.69-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS3-0.29-1.0-22-26,156.2626925695436
B1105,0.0468851099260596,0.028500624473992,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.69-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-26-28,222.59207609115003
B1102,0.0028813561815121,0.0204542686814007,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.59-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS4-0.49-1.0-18-26,319.6063505793546
B1005,0.0008325396732003,0.0444035495830624,WINDOW_AS9-TIGHTNESS_AS2-0.59-1.0-24-26,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.39-1.0-22-22,443.8059941152095
B1016,0.0003501652066945,0.1028149846203767,WINDOW_AS10-TIGHTNESS_AS2-0.89-1.0-18-20,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.69-1.0-28-28,96.40378141289534
B1026,0.0031425547853942,0.0656016319767721,WINDOW_AS10-TIGHTNESS_AS3-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.79-1.0-29-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-20-20,64.12644644987728
B1050,3.2405857522889074e-05,0.018051341893617,WINDOW_AS8-TIGHTNESS_AS3-0.69-1.0-26-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.59-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-28-28,23.37500512676255
B1103,0.5222214755201061,0.009427015509873,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS9-TIGHTNESS_AS4-0.79-1.0-28-28,0.3577437509022273
B1053,0.1743419709114082,0.0418665893868639,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.49-1.0-20-24,119.15291423678433
B1052,0.0472218683602337,0.0505334871761469,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-29-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-29-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-20-22,111.85992166156768
B1063,0.0018426593531485,0.0563513443588204,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-29-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.79-1.0-28-OFF,4.992618598947556
